"linked_id","before","after"
2701,"tests/test_edge_node_overlap_ellipse_node_shapes_except_point.cpp","tests/test_edge_node_overlap_ellipse_node_shapes_except_point.cpp"
2701,"lib/common/splines.c","lib/common/splines.c"
2701,"lib/common/types.h","lib/common/types.h"
2701,"tests/test_edge_node_overlap_polygon_node_shapes.cpp","tests/test_edge_node_overlap_polygon_node_shapes.cpp"
2701,"tests/test_max_edge_node_overlap_simple.cpp","tests/test_max_edge_node_overlap_simple.cpp"
2701,"tests/test_min_edge_stem_arrow_overlap_simple.cpp","tests/test_min_edge_stem_arrow_overlap_simple.cpp"
2701,"tests/test_edge_node_overlap_normal_and_inv_edge_arrows_all_modifiers.cpp","tests/test_edge_node_overlap_normal_and_inv_edge_arrows_all_modifiers.cpp"
2701,"lib/common/const.h","lib/common/const.h"
3148,"configure.ac","configure.ac"
3148,"ci/macos-install-runtime-dependencies.sh","ci/macos-install-runtime-dependencies.sh"
3148,"ci/macos-install-build-dependencies.sh","ci/macos-install-build-dependencies.sh"
3148,"ci/tests.py","ci/tests.py"
3148,"CHANGELOG.md","CHANGELOG.md"
2236,"cmake/config_checks.cmake","cmake/config_checks.cmake"
2236,"lib/gvc/gvconfig.c","lib/gvc/gvconfig.c"
2236,"configure.ac","configure.ac"
2236,"lib/pathplan/CMakeLists.txt","lib/pathplan/CMakeLists.txt"
2236,"cmake/FindPangoCairo.cmake","cmake/FindPangoCairo.cmake"
2236,"cmd/tools/CMakeLists.txt","cmd/tools/CMakeLists.txt"
2236,"CMakeLists.txt","CMakeLists.txt"
2236,"lib/neatogen/CMakeLists.txt","lib/neatogen/CMakeLists.txt"
2236,"plugin/pango/CMakeLists.txt","plugin/pango/CMakeLists.txt"
2236,"config-cmake.h.in","config-cmake.h.in"
2236,"lib/gvc/gvplugin.c","lib/gvc/gvplugin.c"
2236,"ci/mingw-build.sh","ci/mingw-build.sh"
2236,"cmake/FindGTS.cmake","cmake/FindGTS.cmake"
2594,"lib/ortho/maze.c","lib/ortho/maze.c"
2594,"lib/ortho/ortho.c","lib/ortho/ortho.c"
1520,"lib/cgraph/refstr.c","lib/cgraph/refstr.c"
1520,"lib/cdt/dtmethod.c","lib/cdt/dtmethod.c"
1520,"lib/cgraph/cghdr.h","lib/cgraph/cghdr.h"
1520,"lib/cgraph/io.c","lib/cgraph/io.c"
1520,"lib/cgraph/node.c","lib/cgraph/node.c"
1520,"lib/cgraph/subg.c","lib/cgraph/subg.c"
1520,"lib/cdt/dttree.c","lib/cdt/dttree.c"
1520,"lib/cgraph/rec.c","lib/cgraph/rec.c"
1520,"lib/cdt/dtdisc.c","lib/cdt/dtdisc.c"
1520,"lib/cdt/dtsize.c","lib/cdt/dtsize.c"
1520,"lib/cgraph/cgraph.vcxproj","lib/cgraph/cgraph.vcxproj"
1520,"lib/cdt/dtextract.c","lib/cdt/dtextract.c"
1520,"lib/cdt/dtstat.c","lib/cdt/dtstat.c"
1520,"lib/cgraph/pend.c","lib/cgraph/pend.c"
1520,"lib/cgraph/imap.c","lib/cgraph/imap.c"
1520,"lib/cdt/dtrenew.c","lib/cdt/dtrenew.c"
1520,"lib/cdt/cdt.vcxproj","lib/cdt/cdt.vcxproj"
1520,"lib/cdt/dtrestore.c","lib/cdt/dtrestore.c"
1520,"lib/cdt/dthash.c","lib/cdt/dthash.c"
1520,"lib/cgraph/obj.c","lib/cgraph/obj.c"
1520,"lib/cdt/dtstrhash.c","lib/cdt/dtstrhash.c"
1520,"lib/cgraph/edge.c","lib/cgraph/edge.c"
1520,"lib/cgraph/flatten.c","lib/cgraph/flatten.c"
1520,"lib/cgraph/mem.c","lib/cgraph/mem.c"
1520,"lib/cgraph/id.c","lib/cgraph/id.c"
1520,"lib/cgraph/agerror.c","lib/cgraph/agerror.c"
1520,"lib/cgraph/graph.c","lib/cgraph/graph.c"
1520,"lib/cdt/dtflatten.c","lib/cdt/dtflatten.c"
1520,"lib/cgraph/agxbuf.c","lib/cgraph/agxbuf.c"
1520,"lib/cdt/dtopen.c","lib/cdt/dtopen.c"
1520,"lib/cgraph/CMakeLists.txt","lib/cgraph/CMakeLists.txt"
1520,"lib/cgraph/Makefile.am","lib/cgraph/Makefile.am"
1520,"lib/cdt/dtlist.c","lib/cdt/dtlist.c"
1520,"lib/cdt/dtview.c","lib/cdt/dtview.c"
1520,"lib/cgraph/utils.c","lib/cgraph/utils.c"
1520,"lib/cgraph/write.c","lib/cgraph/write.c"
1520,"lib/cgraph/attr.c","lib/cgraph/attr.c"
1520,"lib/cdt/dtwalk.c","lib/cdt/dtwalk.c"
1520,"lib/cgraph/cmpnd.c","lib/cgraph/cmpnd.c"
1520,"lib/cdt/CMakeLists.txt","lib/cdt/CMakeLists.txt"
1520,"lib/cdt/Makefile.am","lib/cdt/Makefile.am"
1520,"lib/cdt/dtclose.c","lib/cdt/dtclose.c"
1520,"lib/cgraph/apply.c","lib/cgraph/apply.c"
1799,".gitlab-ci.yml",".gitlab-ci.yml"
2586,"CONTRIBUTING.md","CONTRIBUTING.md"
2968,"cmake/config_checks.cmake","cmake/config_checks.cmake"
2968,"configure.ac","configure.ac"
2968,"lib/gvpr/compile.c","lib/gvpr/compile.c"
2968,"config-cmake.h.in","config-cmake.h.in"
2968,"windows/include/config.h","windows/include/config.h"
2968,"CHANGELOG.md","CHANGELOG.md"
1686,"rtest/test_regression.py","rtest/test_regression.py"
1686,"rtest/1909.gvpr","rtest/1909.gvpr"
1686,"rtest/rtest.py","rtest/rtest.py"
1686,"lib/cgraph/id.c","lib/cgraph/id.c"
1686,"rtest/1909.dot","rtest/1909.dot"
1686,"CHANGELOG.md","CHANGELOG.md"
2781,"lib/expr/extoken.c","lib/expr/extoken.c"
2781,"lib/expr/exeval.c","lib/expr/exeval.c"
2781,"lib/expr/expr.h","lib/expr/expr.h"
2781,"lib/gvpr/compile.c","lib/gvpr/compile.c"
2781,"lib/expr/excc.c","lib/expr/excc.c"
2781,"lib/expr/exgram.h","lib/expr/exgram.h"
2781,"lib/expr/exparse.y","lib/expr/exparse.y"
2564,"plugin/poppler/gvloadimage_poppler.c","plugin/poppler/gvloadimage_poppler.c"
2564,"plugin/poppler/CMakeLists.txt","plugin/poppler/CMakeLists.txt"
2564,"plugin/CMakeLists.txt","plugin/CMakeLists.txt"
2767,"dot.demo/neatopack.c","dot.demo/neatopack.c"
2767,"tests/test_engines.cpp","tests/test_engines.cpp"
2767,"ci/ubuntu-22.04/Dockerfile","ci/ubuntu-22.04/Dockerfile"
2767,"lib/fdpgen/layout.c","lib/fdpgen/layout.c"
2767,"lib/twopigen/twopiinit.c","lib/twopigen/twopiinit.c"
2767,".gitlab-ci.yml",".gitlab-ci.yml"
2767,"lib/dotgen/dotinit.c","lib/dotgen/dotinit.c"
2767,"tests/test_examples.py","tests/test_examples.py"
2767,"lib/dotgen/cluster.c","lib/dotgen/cluster.c"
2767,"lib/fdpgen/fdpinit.c","lib/fdpgen/fdpinit.c"
2767,"tests/test_subgraphs.cpp","tests/test_subgraphs.cpp"
2767,"CHANGELOG.md","CHANGELOG.md"
2767,"tests/test_clusters.cpp","tests/test_clusters.cpp"
2767,"lib/osage/osageinit.c","lib/osage/osageinit.c"
2767,"lib/circogen/circularinit.c","lib/circogen/circularinit.c"
2767,"lib/gvc/gvc.c","lib/gvc/gvc.c"
2767,"lib/patchwork/patchworkinit.c","lib/patchwork/patchworkinit.c"
2767,"lib/gvc/gvlayout.c","lib/gvc/gvlayout.c"
2767,"cmake/FindFMT.cmake","cmake/FindFMT.cmake"
2767,"tests/CMakeLists.txt","tests/CMakeLists.txt"
2767,"lib/neatogen/neatoinit.c","lib/neatogen/neatoinit.c"
2767,"tests/test_neatopack.cpp","tests/test_neatopack.cpp"
2767,"tests/test_subgraph_layout.cpp","tests/test_subgraph_layout.cpp"
3160,"tests/gvtest.py","tests/gvtest.py"
3160,"tests/test_regression.py","tests/test_regression.py"
